Date,Department,Category,Amount,Description,Type
2025-07-05,Marketing,Digital Advertising,4519.4,Paid Search - Brand Terms,Expense
2025-07-05,Operations,Equipment & Maintenance,4707.82,Kitchen Equipment,Expense
2025-07-05,Finance,Office & Admin,480.17,Department Supplies,Expense
2025-07-06,Operations,Logistics & Shipping,906.26,Package Room Supplies,Expense
2025-07-07,Operations,Insurance,4746.52,Workers Compensation,Expense
2025-07-07,Operations,Facilities & Rent,11834.13,Parking Garage Contract,Expense
2025-07-07,Marketing,Brand & Collateral,2779.52,Print Brochures,Expense
2025-07-07,Marketing,Events & Sponsorships,6158.62,Virtual Event Platform,Expense
2025-07-07,Sales,Recurring Revenue,-48190.15,Monthly Subscription - Northwind Traders,Revenue
2025-07-07,Operations,IT Infrastructure,16081.27,Cybersecurity Suite - SentinelOne,Expense
2025-07-08,Operations,Equipment & Maintenance,6506.39,HVAC Maintenance,Expense
2025-07-08,Operations,IT Infrastructure,6673.88,Zoom Enterprise License,Expense
2025-07-08,Marketing,Events & Sponsorships,8624.89,Conference Sponsorship - Finance Leaders Forum,Expense
2025-07-09,Marketing,Content & Creative,4682.79,Agency Retainer - StoryBrand Partners,Expense
2025-07-10,Operations,Equipment & Maintenance,9158.96,Kitchen Equipment,Expense
2025-07-10,Sales,Recurring Revenue,98601.03,Monthly Subscription - Meridian Foods,Revenue
2025-07-10,Sales,Office Supplies,188.34,Presentation Materials,Expense
2025-07-10,Marketing,Content & Creative,7865.61,Graphic Design - Landing Pages,Expense
2025-07-10,Sales,Recurring Revenue,222802.49,Platform Access - Beacon Financial,Revenue
2025-07-11,Marketing,PR & Communications,2729.1,Crisis Communications Prep,Expense
2025-07-11,Sales,Recurring Revenue,316075.01,Platform Access - Acme Corp,Revenue
2025-07-12,Marketing,Software & Tools,3827.83,Hootsuite Platform,Expense
2025-07-12,Finance,Professional Services,6510.43,Transfer Pricing Study,Expense
2025-07-12,Marketing,Digital Advertising,5358.8,LinkedIn Ads - Lead Gen Q3,Expense
2025-07-12,Sales,Training & Development,2769.77,Conference Registration,Expense
2025-07-12,Sales,Client Entertainment,1233.49,Client Gift - Harbor Media,Expense
2025-07-12,Sales,Travel & Entertainment,11265.27,Uber/Taxi - New York,Expense
2025-07-13,Finance,Office & Admin,863.16,Office Supplies - Finance,Expense
2025-07-13,Sales,Travel & Entertainment,7650.25,Uber/Taxi - Boston,Expense
2025-07-14,Sales,Travel & Entertainment,4685.88,Client Dinner - Denver,Expense
2025-07-14,Operations,Utilities,3314.34,Phone System - Monthly,Expense
2025-07-14,Marketing,Digital Advertising,15818.44,Display Network - Retargeting,Expense
2025-07-14,Sales,Software & Subscriptions,3856.86,DocuSign,Expense
2025-07-15,Operations,Logistics & Shipping,1407.4,Package Room Supplies,Expense
2025-07-15,Finance,Banking & Merchant Fees,2155.01,Foreign Exchange Fees,Expense
2025-07-15,Sales,Recurring Revenue,270013.68,Monthly Subscription - Lakeside Hotels,Revenue
2025-07-16,Operations,Security Services,2994.78,Access Control System,Expense
2025-07-16,Finance,Professional Services,2540.52,Accounting Policy Consultation,Expense
2025-07-16,Finance,Training & Certifications,1540.95,Excel Training Workshop,Expense
2025-07-16,Operations,Insurance,3879.2,General Liability Insurance,Expense
2025-07-17,Operations,Security Services,847.55,Alarm Monitoring - ADT Business,Expense
2025-07-17,Sales,Product Sales,213970.97,Starter Bundle - Keystone Energy,Revenue
2025-07-18,Marketing,Digital Advertising,10478.34,Retargeting Campaign,Expense
2025-07-18,Sales,Sales Commissions,38662.44,SPIF Payout,Expense
2025-07-18,Sales,Training & Development,1717.13,Conference Registration,Expense
2025-07-19,Sales,Software & Subscriptions,8074.92,DocuSign,Expense
2025-07-19,Marketing,Digital Advertising,1387.8,YouTube Pre-roll Ads,Expense
2025-07-19,Operations,Facilities & Rent,30436.72,Coworking Space - HQ Building,Expense
2025-07-19,Marketing,PR & Communications,671.68,Analyst Relations - IDC,Expense
2025-07-19,Sales,Office Supplies,247.83,Demo Equipment,Expense
2025-07-19,Marketing,Digital Advertising,2589.9,Meta Ads - ABM Campaign,Expense
2025-07-20,Marketing,Content & Creative,18970.14,Freelance Writer - Email Templates,Expense
2025-07-21,Finance,Recruiting & HR,2989.15,Recruiting Fee - Staff Accountant,Expense
2025-07-21,Operations,Security Services,2159.62,Security Camera Maintenance,Expense
2025-07-21,Marketing,PR & Communications,569.89,Crisis Communications Prep,Expense
2025-07-22,Operations,Insurance,3546.24,General Liability Insurance,Expense
2025-07-22,Operations,Equipment & Maintenance,5839.82,Computer Hardware - Desks,Expense
2025-07-22,Finance,Training & Certifications,1974.19,Finance Conference - FP&A Summit,Expense
2025-07-22,Marketing,Software & Tools,9038.79,Canva Enterprise,Expense
2025-07-23,Finance,Professional Services,5010.29,Tax Advisory - Moss Adams,Expense
2025-07-23,Operations,IT Infrastructure,11745.44,Backup & Recovery Services,Expense
2025-07-23,Sales,Client Entertainment,792.87,Golf Outing,Expense
2025-07-23,Sales,Recurring Revenue,136818.14,Platform Access - Keystone Energy,Revenue
2025-07-24,Finance,Banking & Merchant Fees,5807.63,Merchant Processing - Stripe,Expense
2025-07-24,Operations,Facilities & Rent,22624.3,Property Management Fee,Expense
2025-07-24,Operations,Office Supplies & General,2290.62,Breakroom Supplies,Expense
2025-07-24,Operations,Logistics & Shipping,2549.13,Freight Shipping - XPO Logistics,Expense
2025-07-24,Sales,Office Supplies,73.0,Business Cards,Expense
2025-07-24,Finance,Office & Admin,326.06,Reference Materials,Expense
2025-07-24,Marketing,Brand & Collateral,4873.57,Print Brochures,Expense
2025-07-25,Sales,Client Entertainment,1386.95,Thank You Gift,Expense
2025-07-25,Operations,Office Supplies & General,1598.53,First Aid Supplies,Expense
2025-07-25,Operations,IT Infrastructure,14923.41,Zoom Enterprise License,Expense
2025-07-25,Marketing,PR & Communications,3224.38,PR Agency Retainer - Ketchum,Expense
2025-07-26,Operations,Utilities,5816.07,Internet Service - Comcast Business,Expense
2025-07-26,Operations,Insurance,8619.41,Cyber Liability Insurance,Expense
2025-07-26,Operations,Security Services,2466.13,Badge System License,Expense
2025-07-26,Marketing,PR & Communications,2087.63,Media Monitoring Service,Expense
2025-07-26,Operations,Utilities,3929.63,Electric Bill - Regional East,Expense
2025-07-27,Sales,Client Entertainment,2588.73,Thank You Gift,Expense
2025-07-27,Operations,Facilities & Rent,33115.14,Office Lease - HQ Building,Expense
2025-07-27,Operations,Office Supplies & General,5053.4,Office Supplies - Amazon Business,Expense
2025-07-27,Sales,Sales Commissions,52656.8,Commission Payout - July,Expense
2025-07-27,Marketing,Digital Advertising,4716.32,Google Ads - Content Syndication,Expense
2025-07-28,Operations,Security Services,1755.83,Security Guard Contract,Expense
2025-07-28,Finance,Audit & Compliance,15554.68,External Audit - PwC,Expense
2025-07-28,Sales,Product Sales,244108.63,Professional Tier - Evergreen Retail,Revenue
2025-08-01,Operations,Logistics & Shipping,6908.75,Freight Shipping - XPO Logistics,Expense
2025-08-01,Finance,Audit & Compliance,7757.82,Controls Testing - Q3,Expense
2025-08-01,Marketing,PR & Communications,1419.38,Press Release Distribution,Expense
2025-08-02,Operations,Facilities & Rent,24911.15,Storage Unit Rental,Expense
2025-08-02,Operations,IT Infrastructure,7034.52,Microsoft 365 Licenses,Expense
2025-08-02,Sales,Product Sales,30445.78,Professional Tier - Beacon Financial,Revenue
2025-08-02,Sales,Service Revenue,153034.65,Implementation Services - Ironclad Security,Revenue
2025-08-02,Marketing,Events & Sponsorships,4250.99,Event Swag & Materials,Expense
2025-08-02,Marketing,Digital Advertising,11071.82,Paid Search - Non-Brand,Expense
2025-08-03,Sales,Sales Commissions,25755.89,SPIF Payout,Expense
2025-08-03,Marketing,Events & Sponsorships,8074.93,Speaker Fee - B2B Sales Con,Expense
2025-08-03,Operations,Utilities,4264.25,Natural Gas - Regional East,Expense
2025-08-03,Operations,Office Supplies & General,1304.64,Janitorial Service Contract,Expense
2025-08-03,Operations,Security Services,1997.12,Security Guard Contract,Expense
2025-08-04,Sales,Training & Development,556.23,Conference Registration,Expense
2025-08-04,Operations,Facilities & Rent,22474.04,Storage Unit Rental,Expense
2025-08-04,Finance,Training & Certifications,1355.81,CPA CPE Credits - K. Brown,Expense
2025-08-05,Operations,Office Supplies & General,6229.34,First Aid Supplies,Expense
2025-08-05,Finance,Training & Certifications,2204.92,ERP Training Session,Expense
2025-08-05,Marketing,Content & Creative,3032.41,Animation Project,Expense
2025-08-06,Operations,IT Infrastructure,5641.97,Slack Business+ Plan,Expense
2025-08-06,Marketing,Software & Tools,2928.67,6sense Platform,Expense
2025-08-06,Marketing,Content & Creative,16146.3,Video Production - Whitepaper,Expense
2025-08-07,Marketing,Digital Advertising,3858.64,Paid Search - Non-Brand,Expense
2025-08-07,Marketing,Events & Sponsorships,999.7,Speaker Fee - Digital Marketing World,Expense
2025-08-07,Finance,Training & Certifications,831.33,CPA CPE Credits - K. Brown,Expense
2025-08-08,Operations,IT Infrastructure,18880.66,Azure Services - Monthly,Expense
2025-08-08,Marketing,Brand & Collateral,1241.51,Print Brochures,Expense
2025-08-08,Marketing,Events & Sponsorships,2043.54,Roadshow - Las Vegas,Expense
2025-08-08,Finance,Recruiting & HR,2195.4,Job Board Posting - Indeed,Expense
2025-08-08,Operations,IT Infrastructure,6060.05,Server Maintenance Contract,Expense
2025-08-09,Operations,Equipment & Maintenance,12078.8,Elevator Service Contract,Expense
2025-08-09,Finance,Banking & Merchant Fees,2169.32,Treasury Management Services,Expense
2025-08-10,Operations,Security Services,5478.47,Access Control System,Expense
2025-08-10,Marketing,Digital Advertising,3491.58,LinkedIn Ads - Content Syndication,Expense
2025-08-10,Marketing,Events & Sponsorships,3730.77,Virtual Event Platform,Expense
2025-08-10,Finance,Recruiting & HR,3479.47,Background Check Services,Expense
2025-08-10,Operations,Office Supplies & General,676.93,Coffee Service - Monthly,Expense
2025-08-11,Operations,Utilities,5726.51,Phone System - Monthly,Expense
2025-08-11,Marketing,Digital Advertising,3311.53,Display Network - ABM Campaign,Expense
2025-08-11,Sales,Client Entertainment,1651.51,Thank You Gift,Expense
2025-08-11,Sales,Sales Commissions,32381.85,Accelerator Bonus,Expense
2025-08-11,Sales,Recurring Revenue,251838.64,API Usage - Meridian Foods,Revenue
2025-08-11,Sales,Travel & Entertainment,5728.08,Uber/Taxi - Miami,Expense
2025-08-12,Sales,Service Revenue,68937.95,Consulting Engagement - Beacon Financial,Revenue
2025-08-12,Marketing,Digital Advertising,28568.39,Google Ads - Brand Awareness,Expense
2025-08-12,Finance,Office & Admin,686.22,Calculator & Equipment,Expense
2025-08-12,Operations,Equipment & Maintenance,1454.1,Kitchen Equipment,Expense
2025-08-13,Operations,Office Supplies & General,3203.68,Janitorial Service Contract,Expense
2025-08-13,Marketing,Digital Advertising,1251.52,Google Ads - Brand Awareness,Expense
2025-08-13,Marketing,Brand & Collateral,2312.15,Office Signage,Expense
2025-08-13,Sales,Product Sales,150403.41,Starter Bundle - Harbor Media,Revenue
2025-08-13,Sales,Software & Subscriptions,6153.46,LinkedIn Sales Navigator,Expense
2025-08-14,Finance,Software & Tools,1265.44,Workday Subscription,Expense
2025-08-14,Sales,Training & Development,978.79,Workshop Fee,Expense
2025-08-14,Operations,Insurance,2956.5,General Liability Insurance,Expense
2025-08-14,Marketing,Events & Sponsorships,1536.22,Speaker Fee - SaaStr Annual,Expense
2025-08-14,Sales,Office Supplies,640.9,Business Cards,Expense
2025-08-15,Operations,Equipment & Maintenance,10862.94,AV Equipment - Conference Room,Expense
2025-08-15,Sales,Service Revenue,138798.78,Training Package - Granite Construction,Revenue
2025-08-15,Sales,Office Supplies,967.06,Business Cards,Expense
2025-08-16,Operations,Equipment & Maintenance,7165.01,Elevator Service Contract,Expense
2025-08-16,Operations,Equipment & Maintenance,3056.82,Elevator Service Contract,Expense
2025-08-16,Finance,Software & Tools,5143.73,Bill.com Payment Platform,Expense
2025-08-16,Finance,Professional Services,3521.24,Tax Advisory - KPMG Tax,Expense
2025-08-16,Marketing,Software & Tools,6444.56,6sense Platform,Expense
2025-08-16,Marketing,Brand & Collateral,1053.02,Company Swag Order,Expense
2025-08-17,Operations,Logistics & Shipping,3591.19,Package Room Supplies,Expense
2025-08-17,Operations,Utilities,580.09,Water & Sewer - Regional East,Expense
2025-08-17,Finance,Banking & Merchant Fees,6689.21,Credit Card Processing Fees,Expense
2025-08-17,Finance,Professional Services,7910.56,Valuation Services,Expense
2025-08-17,Marketing,Content & Creative,7741.22,Freelance Writer - Social Content,Expense
2025-08-18,Marketing,Digital Advertising,13517.57,Programmatic Buy - Retargeting,Expense
2025-08-19,Finance,Software & Tools,4083.76,BlackLine Reconciliation,Expense
2025-08-19,Marketing,Software & Tools,6270.86,ZoomInfo Marketing,Expense
2025-08-19,Finance,Office & Admin,2385.21,Printer Toner & Paper,Expense
2025-08-19,Finance,Software & Tools,6366.59,FloQast Close Management,Expense
2025-08-19,Operations,Logistics & Shipping,974.87,Courier Services,Expense
2025-08-19,Marketing,Brand & Collateral,2204.14,Trade Show Banners,Expense
2025-08-20,Sales,Software & Subscriptions,4618.03,LinkedIn Sales Navigator,Expense
2025-08-20,Sales,Client Entertainment,766.05,Client Gift - Frontier Tech,Expense
2025-08-20,Sales,Recurring Revenue,155597.88,API Usage - Oakmont Properties,Revenue
2025-08-21,Sales,Client Entertainment,1358.64,Thank You Gift,Expense
2025-08-21,Sales,Travel & Entertainment,2973.58,Uber/Taxi - Miami,Expense
2025-08-21,Operations,Security Services,3322.45,Access Control System,Expense
2025-08-21,Operations,Office Supplies & General,725.78,Breakroom Supplies,Expense
2025-08-21,Sales,Software & Subscriptions,4165.41,Salesforce License,Expense
2025-08-22,Marketing,PR & Communications,7516.88,Crisis Communications Prep,Expense
2025-08-22,Sales,Client Entertainment,928.85,Event Tickets - Harbor Media,Expense
2025-08-22,Operations,Security Services,2364.75,Alarm Monitoring - Allied Universal,Expense
2025-08-22,Operations,Facilities & Rent,13768.34,Common Area Charges,Expense
2025-08-22,Finance,Audit & Compliance,3482.77,Internal Audit Services,Expense
2025-08-23,Sales,Service Revenue,92051.01,Support Retainer - Oakmont Properties,Revenue
2025-08-23,Sales,Client Entertainment,1084.76,Thank You Gift,Expense
2025-08-24,Operations,Utilities,2992.55,Waste Management,Expense
2025-08-24,Marketing,PR & Communications,4710.67,Crisis Communications Prep,Expense
2025-08-24,Marketing,Digital Advertising,6076.6,LinkedIn Ads - Brand Awareness,Expense
2025-08-24,Operations,Office Supplies & General,798.12,Paper Products,Expense
2025-08-24,Sales,Sales Commissions,51091.37,Bonus - Q3 Performance,Expense
2025-08-24,Operations,Insurance,10796.5,Business Interruption Insurance,Expense
2025-08-25,Sales,Recurring Revenue,-202174.02,Platform Access - Atlas Manufacturing,Revenue
2025-08-25,Operations,IT Infrastructure,5553.38,Cisco Network Equipment,Expense
2025-08-25,Operations,Utilities,786.92,Water & Sewer - Regional West,Expense
2025-08-25,Operations,Utilities,6963.58,Phone System - Monthly,Expense
2025-08-25,Marketing,PR & Communications,1724.45,Media Monitoring Service,Expense
2025-08-25,Sales,Product Sales,130719.53,Growth Package - Crestwood Partners,Revenue
2025-08-26,Sales,Travel & Entertainment,4677.33,Flight - New York,Expense
2025-08-26,Sales,Service Revenue,113634.07,Support Retainer - Jasper Analytics,Revenue
2025-08-26,Operations,Facilities & Rent,33345.46,Parking Garage Contract,Expense
2025-08-26,Operations,Logistics & Shipping,3944.79,Freight Shipping - XPO Logistics,Expense
2025-08-26,Sales,Travel & Entertainment,10465.18,Conference Travel,Expense
2025-08-27,Sales,Recurring Revenue,77124.63,API Usage - Beacon Financial,Revenue
2025-08-27,Sales,Product Sales,325859.53,Growth Package - Harbor Media,Revenue
2025-08-27,Sales,Training & Development,1700.44,Coaching Session,Expense
2025-08-27,Operations,Office Supplies & General,2541.4,Janitorial Service Contract,Expense
2025-09-01,Operations,Insurance,6611.19,Property Insurance - Quarterly,Expense
2025-09-01,Marketing,Digital Advertising,16399.02,Google Ads - Content Syndication,Expense
2025-09-01,Sales,Office Supplies,205.37,Business Cards,Expense
2025-09-02,Marketing,Software & Tools,3439.65,Hootsuite Platform,Expense
2025-09-02,Finance,Recruiting & HR,1048.76,Job Board Posting - Indeed,Expense
2025-09-02,Finance,Recruiting & HR,567.18,LinkedIn Recruiter Seat,Expense
2025-09-02,Marketing,Brand & Collateral,3761.72,Business Cards Reorder,Expense
2025-09-02,Operations,Logistics & Shipping,6896.05,Courier Services,Expense
2025-09-03,Marketing,Digital Advertising,2135.94,Paid Search - Non-Brand,Expense
2025-09-03,Finance,Software & Tools,9360.98,Avalara Tax Software,Expense
2025-09-03,Finance,Banking & Merchant Fees,4687.73,Bank Account Fees - Wells Fargo,Expense
2025-09-03,Sales,Travel & Entertainment,15621.96,Uber/Taxi - Dallas,Expense
2025-09-03,Operations,IT Infrastructure,22437.28,Azure Services - Monthly,Expense
2025-09-04,Operations,Logistics & Shipping,3356.85,USPS Postage Meter,Expense
2025-09-04,Operations,Security Services,3191.4,Security Camera Maintenance,Expense
2025-09-04,Operations,Insurance,5499.61,Directors & Officers Insurance,Expense
2025-09-04,Operations,Equipment & Maintenance,13492.6,Elevator Service Contract,Expense
2025-09-04,Marketing,Digital Advertising,3034.39,Programmatic Buy - Brand Awareness,Expense
2025-09-04,Operations,Equipment & Maintenance,4467.44,Standing Desks Order,Expense
2025-09-05,Sales,Service Revenue,83707.96,Implementation Services - Granite Construction,Revenue
2025-09-05,Operations,Utilities,2561.51,Waste Management,Expense
2025-09-05,Sales,Service Revenue,60123.37,Consulting Engagement - Crestwood Partners,Revenue
2025-09-05,Finance,Office & Admin,458.32,Filing & Storage Supplies,Expense
2025-09-05,Finance,Professional Services,6777.58,Accounting Policy Consultation,Expense
2025-09-05,Marketing,Content & Creative,6452.53,Animation Project,Expense
2025-09-05,Marketing,Digital Advertising,2654.88,Paid Search - Brand Terms,Expense
2025-09-06,Finance,Training & Certifications,2902.04,CPA CPE Credits - K. Brown,Expense
2025-09-06,Marketing,Events & Sponsorships,4432.97,Customer Dinner - Austin,Expense
2025-09-08,Marketing,Software & Tools,18380.24,SEMrush Annual,Expense
2025-09-08,Sales,Recurring Revenue,243877.09,API Usage - Vertex Solutions,Revenue
2025-09-08,Operations,Facilities & Rent,70041.41,Property Management Fee,Expense
2025-09-09,Finance,Software & Tools,6617.63,Expensify Licenses,Expense
2025-09-09,Marketing,Events & Sponsorships,10066.34,Conference Sponsorship - Industry Summit,Expense
2025-09-09,Sales,Software & Subscriptions,2418.29,Outreach License,Expense
2025-09-10,Sales,Service Revenue,20575.27,Implementation Services - Meridian Foods,Revenue
2025-09-10,Operations,Insurance,5580.09,Business Interruption Insurance,Expense
2025-09-10,Marketing,PR & Communications,934.16,PR Agency Retainer - Edelman,Expense
2025-09-11,Sales,Travel & Entertainment,6631.09,Uber/Taxi - Chicago,Expense
2025-09-11,Sales,Travel & Entertainment,1681.53,Conference Travel,Expense
2025-09-11,Sales,Travel & Entertainment,3582.01,Hotel - Denver,Expense
2025-09-12,Operations,IT Infrastructure,7380.5,Cybersecurity Suite - SentinelOne,Expense
2025-09-12,Finance,Professional Services,10690.47,Valuation Services,Expense
2025-09-12,Finance,Office & Admin,1556.9,Filing & Storage Supplies,Expense
2025-09-12,Sales,Product Sales,427939.88,Starter Bundle - Keystone Energy,Revenue
2025-09-12,Sales,Office Supplies,221.47,Demo Equipment,Expense
2025-09-12,Sales,Training & Development,1219.14,Certification Course,Expense
2025-09-12,Sales,Software & Subscriptions,1063.59,Salesforce License,Expense
2025-09-12,Operations,Office Supplies & General,1664.15,Breakroom Supplies,Expense
2025-09-12,Marketing,Digital Advertising,2770.46,LinkedIn Ads - ABM Campaign,Expense
2025-09-13,Marketing,Digital Advertising,1787.79,Retargeting Campaign,Expense
2025-09-13,Finance,Recruiting & HR,813.35,Onboarding Materials,Expense
2025-09-13,Marketing,Digital Advertising,9341.77,Retargeting Campaign,Expense
2025-09-14,Marketing,Digital Advertising,7106.08,LinkedIn Ads - ABM Campaign,Expense
2025-09-14,Finance,Banking & Merchant Fees,2748.83,Wire Transfer Fees,Expense
2025-09-15,Sales,Product Sales,-680417.9,Enterprise License - Harbor Media,Revenue
2025-09-15,Sales,Client Entertainment,1378.99,Holiday Gift Basket,Expense
2025-09-15,Sales,Product Sales,188319.31,Growth Package - Oakmont Properties,Revenue
2025-09-15,Sales,Sales Commissions,46134.56,Accelerator Bonus,Expense
2025-09-16,Operations,Security Services,6147.3,Access Control System,Expense
2025-09-16,Operations,Office Supplies & General,3429.71,Coffee Service - Monthly,Expense
2025-09-17,Finance,Audit & Compliance,12335.52,Financial Statement Audit,Expense
2025-09-17,Operations,Utilities,804.71,Natural Gas - HQ,Expense
2025-09-17,Marketing,Digital Advertising,31001.25,Programmatic Buy - Webinar Promo,Expense
2025-09-17,Sales,Travel & Entertainment,4091.08,Flight - Seattle,Expense
2025-09-17,Sales,Service Revenue,82757.29,Implementation Services - Ironclad Security,Revenue
2025-09-17,Sales,Recurring Revenue,289768.46,Annual Contract - Jasper Analytics,Revenue
2025-09-17,Sales,Service Revenue,379786.23,Training Package - Keystone Energy,Revenue
2025-09-17,Finance,Banking & Merchant Fees,1919.57,Merchant Processing - Stripe,Expense
2025-09-18,Operations,Utilities,556.4,Internet Service - AT&T Fiber,Expense
2025-09-18,Sales,Product Sales,156540.03,Growth Package - Summit Healthcare,Revenue
2025-09-18,Finance,Office & Admin,774.11,Reference Materials,Expense
2025-09-18,Sales,Office Supplies,121.74,Demo Equipment,Expense
2025-09-19,Sales,Software & Subscriptions,1567.97,LinkedIn Sales Navigator,Expense
2025-09-19,Operations,Logistics & Shipping,2265.85,Courier Services,Expense
2025-09-20,Sales,Software & Subscriptions,4177.24,ZoomInfo Subscription,Expense
2025-09-20,Marketing,Content & Creative,7636.08,Animation Project,Expense
2025-09-21,Operations,Security Services,8473.39,Security Guard Contract,Expense
2025-09-21,Sales,Product Sales,92920.25,Professional Tier - Frontier Tech,Revenue
2025-09-21,Sales,Service Revenue,221500.09,Support Retainer - Pinnacle Industries,Revenue
2025-09-21,Marketing,Content & Creative,27962.58,Stock Images License,Expense
2025-09-21,Marketing,PR & Communications,1636.58,Press Release Distribution,Expense
2025-09-21,Operations,Utilities,3388.09,Water & Sewer - Regional East,Expense
2025-09-21,Operations,Office Supplies & General,1998.82,Cleaning Supplies,Expense
2025-09-22,Operations,Office Supplies & General,5874.66,First Aid Supplies,Expense
2025-09-22,Operations,Insurance,4631.38,Workers Compensation,Expense
2025-09-22,Sales,Sales Commissions,42829.55,SPIF Payout,Expense
2025-09-22,Sales,Client Entertainment,4818.36,Client Gift - Atlas Manufacturing,Expense
2025-09-22,Marketing,PR & Communications,2253.63,Executive Comms Coaching,Expense
2025-09-23,Marketing,Events & Sponsorships,8043.96,Event Swag & Materials,Expense
2025-09-23,Finance,Software & Tools,4126.19,Workday Subscription,Expense
2025-09-23,Marketing,Brand & Collateral,2772.13,Company Swag Order,Expense
2025-09-24,Operations,Equipment & Maintenance,7357.29,Monitor Refresh Program,Expense
2025-09-24,Operations,IT Infrastructure,17679.94,Microsoft 365 Licenses,Expense
2025-09-24,Finance,Training & Certifications,2482.29,CFI Certification Program,Expense
2025-09-24,Sales,Service Revenue,107980.88,Consulting Engagement - Vertex Solutions,Revenue
2025-09-24,Sales,Software & Subscriptions,1744.4,DocuSign,Expense
2025-09-24,Marketing,Events & Sponsorships,9130.97,Customer Dinner - Austin,Expense
2025-09-24,Marketing,Digital Advertising,1270.09,Paid Search - Brand Terms,Expense
2025-09-24,Marketing,Brand & Collateral,2090.68,Company Swag Order,Expense
2025-09-24,Sales,Sales Commissions,40977.86,SPIF Payout,Expense
2025-09-24,Operations,Utilities,2201.58,Water & Sewer - Regional West,Expense
2025-09-25,Sales,Recurring Revenue,91397.59,API Usage - Summit Healthcare,Revenue
2025-09-25,Operations,Utilities,1113.11,Natural Gas - HQ,Expense
2025-09-26,Operations,Logistics & Shipping,3236.41,Package Room Supplies,Expense
2025-09-26,Sales,Sales Commissions,21954.72,Accelerator Bonus,Expense
2025-09-26,Marketing,PR & Communications,4802.84,Analyst Relations - IDC,Expense
2025-09-27,Finance,Recruiting & HR,1865.54,Onboarding Materials,Expense
2025-09-27,Marketing,PR & Communications,2450.62,Media Monitoring Service,Expense
2025-09-27,Finance,Banking & Merchant Fees,5057.41,Bank Account Fees - US Bank,Expense
2025-09-27,Operations,Equipment & Maintenance,5709.21,Monitor Refresh Program,Expense
2025-09-27,Operations,Facilities & Rent,28323.44,Storage Unit Rental,Expense
2025-09-28,Finance,Office & Admin,656.54,Subscription - WSJ,Expense
2025-09-28,Sales,Training & Development,3906.11,Conference Registration,Expense
2025-09-28,Operations,Utilities,9256.8,Phone System - Monthly,Expense
2025-10-01,Operations,Equipment & Maintenance,3479.19,Elevator Service Contract,Expense
2025-10-01,Operations,Insurance,6852.55,Business Interruption Insurance,Expense
2025-10-01,Finance,Recruiting & HR,4323.03,Onboarding Materials,Expense
2025-10-02,Finance,Banking & Merchant Fees,5895.3,Merchant Processing - Stripe,Expense
2025-10-02,Operations,Utilities,899.82,Internet Service - AT&T Fiber,Expense
2025-10-02,Operations,Utilities,1932.2,Waste Management,Expense
2025-10-02,Finance,Training & Certifications,1768.52,Technical Accounting Training,Expense
2025-10-03,Operations,Office Supplies & General,8532.42,Coffee Service - Monthly,Expense
2025-10-03,Operations,Office Supplies & General,3753.51,Breakroom Supplies,Expense
2025-10-03,Operations,Utilities,12809.87,Natural Gas - HQ,Expense
2025-10-03,Finance,Audit & Compliance,10460.09,Risk Assessment Services,Expense
2025-10-03,Finance,Professional Services,1926.7,Tax Advisory - Moss Adams,Expense
2025-10-04,Marketing,Digital Advertising,3879.96,Display Network - Lead Gen Q4,Expense
2025-10-04,Marketing,Events & Sponsorships,9398.89,Webinar Platform Hosting,Expense
2025-10-04,Operations,Equipment & Maintenance,4659.7,Janitorial Equipment,Expense
2025-10-04,Operations,Insurance,1387.86,Business Interruption Insurance,Expense
2025-10-04,Finance,Office & Admin,1120.99,Printer Toner & Paper,Expense
2025-10-05,Marketing,PR & Communications,5406.31,Media Monitoring Service,Expense
2025-10-05,Operations,Insurance,1141.45,Workers Compensation,Expense
2025-10-05,Operations,Facilities & Rent,32417.62,Property Management Fee,Expense
2025-10-05,Marketing,Digital Advertising,18028.57,LinkedIn Ads - Content Syndication,Expense
2025-10-05,Marketing,Digital Advertising,38647.21,Meta Ads - ABM Campaign,Expense
2025-10-05,Marketing,Events & Sponsorships,16208.91,Speaker Fee - Digital Marketing World,Expense
2025-10-05,Sales,Client Entertainment,1917.61,Golf Outing,Expense
2025-10-07,Sales,Training & Development,753.69,Workshop Fee,Expense
2025-10-07,Operations,Office Supplies & General,2122.26,Water Delivery Service,Expense
2025-10-07,Marketing,Digital Advertising,21530.18,Display Network - ABM Campaign,Expense
2025-10-07,Operations,Equipment & Maintenance,8917.19,Copier Lease - HP,Expense
2025-10-08,Operations,Logistics & Shipping,6482.26,UPS Business Account,Expense
2025-10-08,Finance,Training & Certifications,1741.53,CFA Program Materials,Expense
2025-10-08,Marketing,Digital Advertising,5456.65,Google Ads - Brand Awareness,Expense
2025-10-09,Marketing,PR & Communications,5940.29,Press Release Distribution,Expense
2025-10-10,Operations,Utilities,3396.9,Internet Service - Verizon Enterprise,Expense
2025-10-10,Sales,Sales Commissions,65182.09,Accelerator Bonus,Expense
2025-10-10,Sales,Travel & Entertainment,2955.72,Conference Travel,Expense
2025-10-10,Marketing,Content & Creative,17447.56,Video Production - Infographic,Expense
2025-10-11,Sales,Recurring Revenue,127279.63,Annual Contract - Atlas Manufacturing,Revenue
